evaluator,generator,dataset,distance,performance
qwen-3.0-80b-thinking,deepseek-3.1,wikisum,48,0.0
deepseek-r1-thinking,deepseek-3.1,wikisum,-5,0.0306122448979591
kimi-k2-thinking,deepseek-3.1,wikisum,-16,0.1795338825185246
gpt-oss-120b-thinking,kimi-k2,wikisum,63,0.9081632653061223
opus-4.1-thinking,kimi-k2,wikisum,-24,0.8469387755102041
gemini-2.5-pro-thinking,kimi-k2,wikisum,-28,0.0306122448979591
qwen-3.0-80b-thinking,kimi-k2,wikisum,52,0.0612244897959183
deepseek-r1-thinking,kimi-k2,wikisum,-1,0.1020408163265306
kimi-k2-thinking,kimi-k2,wikisum,-12,0.1587110633727175
opus-4.1-thinking,gpt-oss-120b-thinking,sharegpt,-87,0.955
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,sharegpt,-91,0.065
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,sharegpt,-11,0.0918315645326942
deepseek-r1-thinking,gpt-oss-120b-thinking,sharegpt,-64,0.08
kimi-k2-thinking,gpt-oss-120b-thinking,sharegpt,-75,0.3125571504518873
gpt-oss-120b-thinking,opus-4.1-thinking,sharegpt,87,0.7855172413793103
gemini-2.5-pro-thinking,opus-4.1-thinking,sharegpt,-4,0.0689655172413793
qwen-3.0-80b-thinking,opus-4.1-thinking,sharegpt,76,0.1593466424682396
deepseek-r1-thinking,opus-4.1-thinking,sharegpt,23,0.0862068965517241
kimi-k2-thinking,opus-4.1-thinking,sharegpt,12,0.2443140132061629
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,sharegpt,91,0.8113888888888888
opus-4.1-thinking,gemini-2.5-pro-thinking,sharegpt,4,0.895
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,sharegpt,80,0.0380325203252032
deepseek-r1-thinking,gemini-2.5-pro-thinking,sharegpt,27,0.03
kimi-k2-thinking,gemini-2.5-pro-thinking,sharegpt,16,0.1348358208955224
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,sharegpt,11,0.6974482758620689
opus-4.1-thinking,qwen-3.0-80b-thinking,sharegpt,-76,0.975
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,sharegpt,-80,0.02
deepseek-r1-thinking,qwen-3.0-80b-thinking,sharegpt,-53,0.055
kimi-k2-thinking,qwen-3.0-80b-thinking,sharegpt,-64,0.2928199428389965
gpt-oss-120b-thinking,deepseek-r1-thinking,sharegpt,64,0.7847871148459383
