evaluator,generator,dataset,distance,performance
gpt-4o-mini,qwen-3.0-80b,wikisum,93,0.2755102040816326
gpt-4.1-mini,qwen-3.0-80b,wikisum,21,0.3163265306122449
gpt-4o,qwen-3.0-80b,wikisum,-41,0.3775510204081632
gpt-4.1,qwen-3.0-80b,wikisum,-12,0.5
haiku-3.5,qwen-3.0-80b,wikisum,79,0.2244897959183673
sonnet-4.5,qwen-3.0-80b,wikisum,-46,0.5
opus-4.1,qwen-3.0-80b,wikisum,-44,0.7653061224489796
gemini-2.0-flash-lite,qwen-3.0-80b,wikisum,43,0.0204081632653061
gemini-2.0-flash,qwen-3.0-80b,wikisum,37,0.0306122448979591
ll-3.1-8b,qwen-3.0-80b,wikisum,166,0.3469387755102041
ll-3.1-70b,qwen-3.0-80b,wikisum,114,0.2346938775510204
ll-3.1-405b,qwen-3.0-80b,wikisum,66,0.1326530612244898
qwen-2.5-72b,qwen-3.0-80b,wikisum,111,0.3877551020408163
deepseek-3.1,qwen-3.0-80b,wikisum,-17,0.0510204081632653
kimi-k2,qwen-3.0-80b,wikisum,-21,0.4081632653061224
gpt-4o-mini,deepseek-3.1,wikisum,110,0.5
gpt-4.1-mini,deepseek-3.1,wikisum,38,0.9591836734693876
gpt-4o,deepseek-3.1,wikisum,-24,0.5
gpt-4.1,deepseek-3.1,wikisum,5,0.5306122448979592
haiku-3.5,deepseek-3.1,wikisum,96,0.6836734693877551
sonnet-4.5,deepseek-3.1,wikisum,-29,0.9285714285714286
opus-4.1,deepseek-3.1,wikisum,-27,0.9693877551020408
gemini-2.0-flash-lite,deepseek-3.1,wikisum,60,0.3673469387755102
gemini-2.0-flash,deepseek-3.1,wikisum,54,0.4387755102040816
ll-3.1-8b,deepseek-3.1,wikisum,183,0.4183673469387755
ll-3.1-70b,deepseek-3.1,wikisum,131,0.5714285714285714
ll-3.1-405b,deepseek-3.1,wikisum,83,0.6122448979591837
qwen-2.5-72b,deepseek-3.1,wikisum,128,0.6632653061224489
